player,matches,inn,overs,maiden,runs,wkts,bb_inn,bb_match,avg,econ,sr,_4w,_5w,season
Shakib Al Hasan (BAN),2,4,90.5,18,270,12,5/68,10/153,22.50,2.97,45.4,2,1,2017
KAJ Roach (WI),3,5,96.5,25,328,11,5/72,5/76,29.81,3.38,52.8,1,0,2017
AS Joseph (WI),4,7,129.0,30,393,10,3/53,4/77,39.30,3.04,77.4,0,0,2017
Mohammed Shami (IND),3,6,60.5,13,177,10,3/32,5/49,17.70,2.90,36.5,0,0,2017
VD Philander (SA),3,6,80.0,18,234,10,3/24,5/72,23.40,2.92,48.0,0,0,2017
AG Cremer (ZIM),1,2,87.3,10,275,9,5/125,9/275,30.55,3.14,58.3,1,0,2017
Mehidy Hasan Miraz (BAN),2,3,83.0,15,235,8,3/62,5/142,29.37,2.83,62.2,0,0,2017
CH Morris (SA),2,4,42.5,5,206,8,3/38,5/45,25.75,4.80,32.1,0,0,2017
AC Agar (AUS),2,4,61.4,14,162,7,3/46,5/101,23.14,2.62,52.8,0,0,2017
CBRLS Kumara (SL),3,5,97.5,10,434,7,3/131,4/190,62.00,4.43,83.8,0,0,2017
D Olivier (SA),2,4,43.2,8,193,7,3/38,5/129,27.57,4.45,37.1,0,0,2017
PJ Cummins (AUS),2,4,63.0,12,174,6,3/63,4/101,29.00,2.76,63.0,0,0,2017
N Pradeep (SL),2,3,60.4,6,258,6,6/132,6/195,43.00,4.25,60.6,1,0,2017
MDK Perera (SL),4,6,147.0,7,561,6,3/95,4/181,93.50,3.81,147.0,0,0,2017
Taijul Islam (BAN),2,4,52.5,4,196,6,3/60,4/92,32.66,3.70,52.8,0,0,2017
UT Yadav (IND),3,6,57.1,9,215,6,2/21,2/44,35.83,3.76,57.1,0,0,2017
LA Dawson (ENG),2,4,44.4,8,169,5,2/34,4/101,33.80,3.78,53.6,0,0,2017
Kuldeep Yadav (IND),1,2,30.0,6,96,5,4/40,5/96,19.20,3.20,36.0,0,0,2017
Mustafizur Rahman (BAN),2,4,34.5,6,121,5,4/84,5/100,24.20,3.47,41.8,0,0,2017
PM Pushpakumara (SL),2,2,61.2,4,238,5,3/82,3/82,47.60,3.88,73.6,0,0,2017
PADLR Sandakan (SL),1,1,35.3,4,132,5,5/132,5/132,26.40,3.71,42.6,1,0,2017
HH Pandya (IND),3,5,32.0,3,95,4,2/31,2/31,23.75,2.96,48.0,0,0,2017
SC Williams (ZIM),1,2,66.5,5,208,4,2/62,4/208,52.00,3.11,100.2,0,0,2017
Hasan Ali (PAK),1,2,37.0,11,55,3,3/33,3/55,18.33,1.48,74.0,0,0,2017
MVT Fernando (SL),1,1,26.0,3,87,2,2/87,2/87,43.50,3.34,78.0,0,0,2017
DAS Gunaratne (SL),2,1,7.0,0,28,2,2/28,2/28,14.00,4.00,21.0,0,0,2017
SNJ O'Keefe (AUS),1,2,45.2,6,128,2,2/49,2/128,64.00,2.82,136.0,0,0,2017
Wahab Riaz (PAK),1,2,29.0,6,95,2,1/29,2/95,47.50,3.27,87.0,0,0,2017
CR Woakes (ENG),1,2,33.2,6,122,2,1/44,2/122,61.00,3.66,100.0,0,0,2017
Azhar Ali (PAK),3,3,9.0,1,22,1,1/15,1/18,22.00,2.44,54.0,0,0,2017
ML Cummins (WI),1,1,24.0,3,87,1,1/87,1/87,87.00,3.62,144.0,0,0,2017
JM Anderson (ENG),7,14,237.4,70,607,33,5/20,9/43,18.39,2.55,43.2,1,0,2018
ST Gabriel (WI),5,10,124.4,23,438,28,8/62,13/121,15.64,3.51,26.7,3,1,2018
JO Holder (WI),5,10,123.1,33,336,28,6/59,11/103,12.00,2.72,26.3,3,1,2018
SCJ Broad (ENG),7,14,206.5,55,615,23,4/44,6/66,26.73,2.97,53.9,0,0,2018
I Sharma (IND),6,11,163.0,38,482,22,5/51,6/97,21.90,2.95,44.4,1,0,2018
Mohammad Abbas (PAK),3,5,96.3,32,252,19,5/66,9/110,13.26,2.61,30.4,1,0,2018
MDK Perera (SL),4,8,140.2,26,371,19,6/32,10/78,19.52,2.64,44.3,1,1,2018
