,player,matches,runs,hs,batting_avg,_100,wkts,bb_inn,bowling_avg,_5w,catches_taken,stumping_made,avg_diff,season
299,Zulfiqar Babar (PAK),3,79,56,26.33,0,9,3/64,49.22,0,2,0,-22.88,2015
300,VR Aaron (IND),2,5,4,5.00,0,3,1/27,44.66,0,0,0,-39.66,2015
301,HM Amla (SA),2,13,13,13.00,0,,,,,,,,
302,T Bavuma (SA),2,54,54,54.00,0,,,,,,,,
303,STR Binny (IND),2,76,49,19.00,0,3,2/24,39.00,0,2,0,-19.99,2015
304,D Bishoo (WI),2,55,30,27.50,0,10,6/80,28.90,1,0,0,-1.39,2015
305,TA Boult (NZ),2,25,15,8.33,0,13,5/85,24.84,1,1,0,-16.51,2015
306,PVD Chameera (SL),2,6,4,3.00,0,6,3/53,36.83,0,1,0,-33.83,2015
307,MD Craig (NZ),2,103,58*,51.50,0,7,3/73,42.00,0,3,0,9.50,2015
308,S Dhawan (IND),2,335,173,111.66,2,0,,,,,,,
309,SO Dowrich (WI),2,102,70,25.50,0,,,,,,,,
310,JP Duminy (SA),2,0,0,0.00,0,3,3/27,14.00,0,2,0,-13.99,2015
311,F du Plessis (SA),2,48,48,48.00,0,,,,,,,,
312,D Elgar (SA),2,75,47,75.00,0,2,1/6,14.00,0,3,0,61.00,2015
313,MJ Guptill (NZ),2,140,70,35.00,0,,,,,,,,
314,Harbhajan Singh (IND),2,22,14,11.00,0,4,3/64,41.25,0,0,0,-30.24,2015
315,SR Harmer (SA),2,9,9,9.00,0,3,3/105,60.33,0,0,0,-51.33,2015
316,MJ Henry (NZ),2,59,27,29.50,0,8,4/93,42.50,0,1,0,-12.99,2015
317,Imran Khan (PAK),2,0,0,0.00,0,7,5/58,28.00,1,0,0,-27.99,2015
318,TWM Latham (NZ),2,146,84,36.50,0,,,,,,,,
319,BB McCullum (NZ),2,138,55,34.50,0,,,,,,,,
320,M Morkel (SA),2,3,3*,-,,,,,,,,,
321,Mustafizur Rahman (BAN),2,3,3,3.00,0,4,4/37,14.50,0,0,0,-11.49,2015
322,V Permaul (WI),2,41,23*,20.50,0,6,3/43,56.00,0,1,0,-35.49,2015
323,VD Philander (SA),2,24,24,24.00,0,2,2/40,32.50,0,0,0,-8.49,2015
324,Sami Aslam (PAK),2,47,20,15.66,0,,,,,,,,
